num_code;Name;Sp_code;HF_factor_grp;F_formula;Fk_formula;V_tab;Order;Conifer;Color
110;Pušis;P;P;2;1;P;1;1;FFA049
120;Eglė;E;E;1;2;E;2;1;FF73E3
130;Maumedis;M;P;2;1;M;10;1;FF4646
114;Kiti spygliuočiai;Ks;P;2;1;P;11;1;FF73E3
299;Kiti kietieji lapuočiai;Kk;U;2;3;U;16;0;B074D7
210;Ąžuolas;Ą;A;2;3;A;7;0;A5A5A5
220;Uosis;U;U;2;3;U;8;0;718828
230;Klevas;K;U;2;3;A;12;0;B074D7
240;Skroblas;Sb;U;2;3;B;13;0;B074D7
250;Guoba;G;J;2;3;A;14;0;B074D7
260;Bukas;Bu;A;2;3;A;15;0;B074D7
310;Beržas;B;B;2;3;B;3;0;64FFFF
340;Baltalksnis;Bt;Bt;2;3;Bt;6;0;FFFF73
320;Juodalksnis;J;J;2;3;J;4;0;CA9B8A
330;Drebulė;D;D;1;3;D;5;0;B3FF5A
350;Liepa;L;J;2;3;L;9;0;00DC00
370;Blindė;Bl;Bt;2;3;Bt;17;0;FFFF73
380;Gluosnis;Gl;Bt;2;3;Bt;18;0;FFFF73
399;Kiti minkštieji lapuočiai;Km;Bt;2;3;Bt;19;0;FFFF73
